CARTRIDGE,CALIBER,G1,G7,Weight,Muzzle
243 WIN: Remington 80gr Pntd SP,0.2430,0.2550,,80,3350
243 WIN: Remington 85gr Core-Lokt Copper,0.2430,0.2330,,85,3200
243 WIN: Remington 90gr Swift Scirocco Bonded,0.2430,0.3900,,90,3120
243 WIN: Remington 95gr Core-Lokt Tipped,0.2430,0.3550,,95,3140
243 WIN: User Data,0.2430,0.0000,,0,0
243 WIN: Winchester 100gr Power-Point,0.2430,0.3560,,100,2960
243 WIN: Winchester 100gr Power-Point,0.2430,0.3560,,100,3110
243 WIN: Winchester 65gr Extreme Point,0.2430,0.2720,,65,3620
243 WIN: Winchester 80gr Pntd SP,0.2430,0.2550,,80,3350
243 WIN: Winchester 85gr Copper Extreme Point,0.2430,0.3440,,85,3260
243 WIN: Winchester 95gr Ballistic Silvertip,0.2430,0.3790,,95,3100
243 WIN: Winchester 95gr Extreme Point,0.2430,0.3630,,95,3100
243 WSSM: Hornady 75 gr V-MAX ,0.2430,0.0000,,75 ,3540
25 AUTO 6.35MM BRWN: Remington 50gr FMJ,0.2510,0.0880,,50,760
25 AUTO: Hornady 35 gr  FTX ,0.2510,0.0000,,35 ,900
25 AUTO: Hornady 35 gr  XTP ,0.2510,0.0000,,35 ,900
25 AUTO: User Data,0.2510,0.0000,,0,0
25 CREEDMOOR: Hornady 112gr  CX ,0.2570,0.0000,,112,3150
25 CREEDMOOR: Hornady 128gr  ELD-X ,0.2570,0.0000,,128,2850
25 CREEDMOOR: Hornady 134gr  ELD  Match,0.2570,0.0000,,134,2800
25 CREEDMOOR: Hornady 95 gr ELD-VT ,0.2570,0.0000,,95 ,3250
25 WSSM: Winchester 120gr Positive Exp. Point,0.2570,0.3440,,120,2990
25 WSSM: Winchester 85gr Ballistic Silvertip,0.2570,0.3290,,85,3470
25-06 REM: Federal 100gr Barnes Triple-Shock,0.2570,0.3360,,100,3210
25-06 REM: Federal 100gr Trophy Copper,0.2570,0.4090,,100,3210
25-06 REM: Hornady 110gr  ELD-X ,0.2570,0.0000,,110,3140
25-06 REM: Hornady 117gr  InterLock  BTS,0.2570,0.0000,,117,2990
25-06 REM: Hornady 117gr  SST ,0.2570,0.0000,,117,3110
25-06 REM: Hornady 90 gr CX ,0.2570,0.0000,,90 ,3350
25-06 REM: Nosler 100gr ETA ET,0.2570,0.0000,,100,3200
25-06 REM: Nosler 100gr TGA PT,0.2570,0.0000,,100,3300
25-06 REM: Nosler 110gr NCA AB,0.2570,0.0000,,110,3100
25-06 REM: Nosler 115gr BTA BT,0.2570,0.0000,,115,3000
25-06 REM: User Data,0.2570,0.0000,,0,0
25-06 REM: Winchester 115gr Ballistic Silvertip,0.2570,0.4530,,115,3060
25-06 REM: Winchester 117gr Extreme Point,0.2570,0.4530,,117,3100
25-06 REM: Winchester 120gr Positive Exp. Point,0.2570,0.3440,,120,2990
25-06 REM: Winchester 85gr Ballistic Silvertip,0.2570,0.3290,,85,3470
25-06 REM: Winchester 90gr Positive Exp. Point,0.2570,0.2590,,90,3440
25-20 WIN: Winchester 86gr SP,0.2580,0.1910,,86,1460
25-35 WIN: Hornady 110gr  FTX ,0.2580,0.0000,,110,2425
25-35 WIN: Winchester 117gr Power-Point,0.2580,0.2130,,117,2230
250 SAVAGE: Hornady 100gr  InterLock  SP,0.2570,0.0000,,100,2800
257 ROBERTS +P: Hornady 117gr  SST ,0.2570,0.0000,,117,2946
257 ROBERTS +P: Nosler 100gr NCA BT,0.2570,0.0000,,100,3100
257 ROBERTS +P: Nosler 100gr NCA PT,0.2570,0.0000,,100,3100
257 ROBERTS +P: Nosler 110gr TGA AB,0.2570,0.0000,,110,3050
257 ROBERTS +P: Nosler 115gr NCA BT,0.2570,0.0000,,115,2775
257 ROBERTS +P: User Data,0.2570,0.0000,,0,0
257 ROBERTS +P: Winchester 117gr Power-Point,0.2570,0.2400,,117,2780
257 WBY MAG: Hornady 110gr  ELD-X ,0.2570,0.0000,,110,3240
257 WBY MAG: Hornady 90 gr CX ,0.2570,0.0000,,90 ,3625
257 WBY MAG: Nosler 100gr NCA ET,0.2570,0.0000,,100,3450
257 WBY MAG: Nosler 110gr NCA AB,0.2570,0.0000,,110,3300
257 WBY MAG: Nosler 110gr TGA AB,0.2570,0.0000,,110,3300
257 WBY MAG: Nosler 115gr NCA PT,0.2570,0.0000,,115,3250
257 WEATHERBY MAG: User Data,0.2570,0.0000,,0,0
26 NOSLER: Nosler 129gr TGA-LR ABLR,0.2640,0.0000,,129,3400
26 NOSLER: Nosler 140gr BTA BT,0.2640,0.0000,,140,3200
26 NOSLER: Nosler 140gr TGA AB,0.2640,0.0000,,140,3300
26 NOSLER: Nosler 142gr TGA-LR ABLR,0.2640,0.0000,,142,3300
26 NOSLER: Nosler 150gr TGA-LR ABLR,0.2640,0.0000,,150,3200
26 NOSLER: User Data,0.2640,0.0000,,0,0
